id,entry_number,entry_date,description,status,fiscal_period_id,created_by,approved_by
1,JE-2024-0001,2024-01-05,1월 급여 지급,posted,1,2,1
2,JE-2024-0002,2024-01-10,사무용품 구매 (한국오피스),posted,1,3,1
3,JE-2024-0003,2024-01-15,삼성전자 노트북 구매,posted,1,2,1
4,JE-2024-0004,2024-01-20,1월 서비스 매출,posted,1,3,2
5,JE-2024-0005,2024-02-05,2월 급여 지급,posted,2,2,1
6,JE-2024-0006,2024-02-12,사무실 임차료 납부,posted,2,3,1
7,JE-2024-0007,2024-02-20,세종소프트 개발용역 매입,posted,2,2,1
8,JE-2024-0008,2024-03-05,3월 급여 지급,posted,3,2,1
9,JE-2024-0009,2024-03-15,상품매출 (국내영업),posted,3,3,2
10,JE-2024-0010,2024-03-25,통신비 납부,posted,3,8,2
11,JE-2024-0011,2024-04-05,4월 급여 지급,posted,4,2,1
12,JE-2024-0012,2024-04-18,대한물류 운송비,posted,4,3,1
13,JE-2024-0013,2024-05-05,5월 급여 지급,posted,5,2,1
14,JE-2024-0014,2024-05-22,시설관리비 (그린클린),posted,5,8,2
15,JE-2024-0015,2024-06-05,6월 급여 지급,posted,6,2,1
16,JE-2024-0016,2024-06-15,상품매출 (해외영업),posted,6,3,2
17,JE-2024-0017,2024-07-05,7월 급여 지급,posted,7,2,1
18,JE-2024-0018,2024-07-20,소모품 구매,posted,7,8,2
19,JE-2024-0019,2024-08-05,8월 급여 지급,posted,8,2,1
20,JE-2024-0020,2024-08-28,삼성전자 서버장비 구매,posted,8,2,1
21,JE-2024-0021,2024-09-05,9월 급여 지급,posted,9,2,1
22,JE-2024-0022,2024-09-20,서비스매출 (세종소프트 연계),posted,9,3,2
23,JE-2024-0023,2024-10-05,10월 급여 지급,draft,10,2,
24,JE-2024-0024,2024-10-15,사무실 임차료 납부,draft,10,3,
25,JE-2024-0025,2024-11-05,11월 급여 지급,draft,11,2,
