id,이름,교수_id,건물_id,호실
1,권우진연구실,1,11,310
2,한태현연구실,2,1,620
3,박준혁연구실,3,12,302
4,이채원연구실,4,9,308
5,송지은연구실,5,6,401
6,이예은연구실,6,10,814
7,최준혁연구실,7,7,220
8,오서연연구실,8,5,705
9,송채원연구실,9,10,112
10,장민지연구실,10,7,301
11,윤하준연구실,11,2,812
12,박성호연구실,12,4,115
13,서은호연구실,13,10,714
14,정은지연구실,14,2,719
15,오은지연구실,15,6,805
16,최현우연구실,16,11,501
17,서준혁연구실,17,5,410
18,김예은연구실,18,8,504
19,최지은연구실,19,12,311
20,장재원연구실,20,4,207
21,안다은연구실,21,8,613
22,송도윤연구실,22,2,102
23,김수진연구실,23,8,816
24,이은지연구실,24,4,303
25,박도윤연구실,25,8,602
26,송미영연구실,26,4,703
27,조건우연구실,27,10,302
28,안승민연구실,28,3,620
29,한민수연구실,29,12,219
30,박건우연구실,30,4,807
31,이지유연구실,31,4,802
32,황성호연구실,32,4,506
33,황서윤연구실,33,5,509
34,신서연연구실,34,8,518
35,최영희연구실,35,10,109
36,조성호연구실,36,8,701
37,강태현연구실,37,8,705
38,송수진연구실,38,4,603
39,강하은연구실,39,1,814
40,이미영연구실,40,6,220
